RouteUID,RouteID,RouteName,BusRouteType,DepartureStopNameZh,DestinationStopNameZh,SubRouteUID,SubRouteID,SubRouteName,Direction,OperatorIDs,FirstBusTime,LastBusTime
NWT10116,10116,242,11,中和,西門,NWT101160,101160,242,0,16176,0530,1710
NWT10116,10116,242,11,中和,西門,NWT101160,101160,242,1,16176,0530,1710
NWT10143,10143,棕7,11,新店站,臺北市政府,NWT10143,10143,棕7,0,16176,0525,2245
NWT10143,10143,棕7,11,新店站,臺北市政府,NWT10143,10143,棕7,1,16176,0525,2245
NWT10148,10148,702,11,三峽,新北板橋公車站,NWT101480,101480,702,0,16176,0530,2130
NWT10148,10148,702,11,三峽,新北板橋公車站,NWT101480,101480,702,1,16176,0530,2130
NWT10149,10149,624綠野香坡,11,新店,西門,NWT101490,101490,624綠野香坡,0,16176,0730,2000
NWT10149,10149,624綠野香坡,11,新店,西門,NWT101490,101490,624綠野香坡,1,16176,0730,2000
NWT10151,10151,701,11,迴龍,西門,NWT101510,101510,701,0,16176,0530,2220
NWT10151,10151,701,11,迴龍,西門,NWT101510,101510,701,1,16176,0530,2220
NWT10161,10161,231,11,宏國德霖科技大學,捷運西門站,NWT101610,101610,231,0,16176,0530,2000
NWT10161,10161,231,11,宏國德霖科技大學,捷運西門站,NWT101610,101610,231,1,16176,0530,2000
NWT10162,10162,245,11,宏國德霖科技大學,捷運臺大醫院站,NWT10162,10162,245,0,16176,0520,2200
NWT10162,10162,245,11,宏國德霖科技大學,捷運臺大醫院站,NWT10162,10162,245,1,16176,0520,2200
NWT10163,10163,656,11,宏國德霖科技大學,捷運臺大醫院站,NWT158438,158438,656,0,16176,0530,2240
NWT10163,10163,656,11,宏國德霖科技大學,捷運臺大醫院站,NWT158438,158438,656,1,16176,0530,2240
NWT10164,10164,657,11,宏國德霖科技大學,華江橋,NWT10164,10164,657,0,16176,0530,2200
NWT10164,10164,657,11,宏國德霖科技大學,華江橋,NWT10164,10164,657,1,16176,0530,2200
NWT10171,10171,201,11,中和,捷運龍山寺站,NWT101710,101710,201,0,16176,0730,1720
NWT10171,10171,201,11,中和,捷運龍山寺站,NWT101710,101710,201,1,16176,0730,1720
NWT10172,10172,243,11,中和,西門,NWT101720,101720,243,0,16176,0530,2100
NWT10172,10172,243,11,中和,西門,NWT101720,101720,243,1,16176,0530,2100
NWT10172,10172,243,11,中和,西門,NWT159537,159537,243寵物公車,0,16176,0530,2100
NWT10172,10172,243,11,中和,西門,NWT159537,159537,243寵物公車,1,16176,0530,2100
NWT10173,10173,241,11,中和,博愛路,NWT10173,10173,241,0,16176,0520,2200
NWT10173,10173,241,11,中和,博愛路,NWT10173,10173,241,1,16176,0520,2200
NWT10195,10195,705,11,三峽,西門,NWT101950,101950,705,0,16176,0500,2200
NWT10195,10195,705,11,三峽,西門,NWT101950,101950,705,1,16176,0500,2200
NWT10196,10196,706,11,三峽,西門,NWT158514,158514,706,0,16176,0500,2200
NWT10196,10196,706,11,三峽,西門,NWT158514,158514,706,1,16176,0500,2200
NWT10281,10281,藍2,11,新莊,捷運台大醫院站,NWT158434,158434,藍2,0,16177,0530,2300
NWT10281,10281,藍2,11,新莊,捷運台大醫院站,NWT158434,158434,藍2,1,16177,0530,2300
NWT10325,10325,909,11,錦繡山莊,松山機場,NWT158645,158645,909,0,16178,0530,2200
NWT10325,10325,909,11,錦繡山莊,松山機場,NWT158645,158645,909,1,16178,0530,2200
NWT10329,10329,906,11,錦繡山莊,松山機場,NWT10329,10329,906,0,16178,0530,2200
NWT10329,10329,906,11,錦繡山莊,松山機場,NWT10329,10329,906,1,16178,0530,2200
NWT10424,10424,520,11,捷運新北產業園區,捷運民權西路站,NWT10424,10424,520,0,16179,0545,2200
NWT10424,10424,520,11,捷運新北產業園區,捷運民權西路站,NWT10424,10424,520,1,16179,0545,2200
NWT10453,10453,640,11,五股,捷運台大醫院站,NWT158513,158513,640,0,16179,0540,2230
NWT10453,10453,640,11,五股,捷運台大醫院站,NWT158513,158513,640,1,16179,0540,2230
NWT10474,10474,636,11,迴龍,捷運中山站,NWT10474,10474,636,0,16179,0530,2235
NWT10474,10474,636,11,迴龍,捷運中山站,NWT10474,10474,636,1,16179,0530,2235
NWT10475,10475,635,11,龍壽里,臺北,NWT158511,158511,635,0,16179,0700,2030
NWT10475,10475,635,11,龍壽里,臺北,NWT158511,158511,635,1,16179,0700,2030
NWT10491,10491,637,11,五股,臺北,NWT104910,104910,637,0,16179,0520,2235
NWT10491,10491,637,11,五股,臺北,NWT104910,104910,637,1,16179,0520,2235
NWT10492,10492,638,11,五股,捷運南京復興站,NWT104920,104920,638,0,16179,0515,2205
NWT10492,10492,638,11,五股,捷運南京復興站,NWT104920,104920,638,1,16179,0515,2205
NWT10511,10511,639,11,東昇公園,捷運北門站,NWT105110,105110,639,0,16179,0500,2150
NWT10511,10511,639,11,東昇公園,捷運北門站,NWT105110,105110,639,1,16179,0500,2150
NWT10731,10731,綠2左,11,景美女中,中永和,NWT158439,158439,綠2左,0,16181,0600,0000
NWT10731,10731,綠2左,11,景美女中,中永和,NWT158439,158439,綠2左,1,16181,0600,0000
NWT10731,10731,綠2左,11,景美女中,中永和,NWT159609,159609,綠2左寵物公車(暫停營運),0,16181,0600,0000
NWT10731,10731,綠2左,11,景美女中,中永和,NWT159609,159609,綠2左寵物公車(暫停營運),1,16181,0600,0000
NWT10732,10732,綠2右,11,景美女中,中永和,NWT158436,158436,綠2右,0,16181,0530,2345
NWT10732,10732,綠2右,11,景美女中,中永和,NWT158436,158436,綠2右,1,16181,0530,2345
NWT10732,10732,綠2右,11,景美女中,中永和,NWT159538,159538,綠2右寵物公車(暫停營運),0,16181,0530,2345
NWT10732,10732,綠2右,11,景美女中,中永和,NWT159538,159538,綠2右寵物公車(暫停營運),1,16181,0530,2345
NWT10732,10732,綠2右,11,景美女中,中永和,NWT160467,160467,綠2右景美女中,0,16181,0530,2345
NWT10732,10732,綠2右,11,景美女中,中永和,NWT160467,160467,綠2右景美女中,1,16181,0530,2345
NWT10753,10753,666華梵大學,11,景福街,華梵大學,NWT107530,107530,666華梵大學,0,16181,0648,1948
NWT10753,10753,666華梵大學,11,景福街,華梵大學,NWT107530,107530,666華梵大學,1,16181,0648,1948
NWT10772,10772,249,11,華夏科技大學,臺北車站,NWT158435,158435,249,0,16181,0530,2310
NWT10772,10772,249,11,華夏科技大學,臺北車站,NWT158435,158435,249,1,16181,0530,2310
NWT10784,10784,290副,11,景明街口,溪園路,NWT158646,158646,290副,0,16181,0600,2100
NWT10784,10784,290副,11,景明街口,溪園路,NWT158646,158646,290副,1,16181,0600,2100
NWT11244,11244,62,11,三重,東園,NWT158644,158644,62,0,16177,0545,2300
NWT11244,11244,62,11,三重,東園,NWT158644,158644,62,1,16177,0545,2300
NWT15181,15181,248,11,錦繡,民生社區,NWT151810,151810,248,0,16185,0630,1630
NWT15181,15181,248,11,錦繡,民生社區,NWT151810,151810,248,1,16185,0630,1630
NWT15224,15224,631,11,淡水,北投,NWT158440,158440,631,0,16186,0600,2100
NWT15224,15224,631,11,淡水,北投,NWT158440,158440,631,1,16186,0600,2100
NWT15224,15224,631,11,淡水,北投,NWT159211,159211,631繞,0,16186,0600,2100
NWT15224,15224,631,11,淡水,北投,NWT159211,159211,631繞,1,16186,0600,2100
NWT15638,15638,677,11,汐止社后,金龍寺,NWT15638,15638,677,0,16187,0600,2100
NWT15638,15638,677,11,汐止社后,金龍寺,NWT15638,15638,677,1,16187,0600,2100
NWT15717,15717,913,11,錦繡山莊,松山機場,NWT15717,15717,913,0,16178,0540,2210
NWT15717,15717,913,11,錦繡山莊,松山機場,NWT15717,15717,913,1,16178,0540,2210
NWT16113,16113,658,11,板橋,西門,NWT16113,16113,658,0,16176,0530,2240
NWT16113,16113,658,11,板橋,西門,NWT16113,16113,658,1,16176,0530,2240
NWT16123,16123,667,11,板橋,臺北車站,NWT158437,158437,667,0,16176,0530,2230
NWT16123,16123,667,11,板橋,臺北車站,NWT158437,158437,667,1,16176,0530,2230
NWT16189,16189,812,11,三峽,捷運永寧站,NWT157184,157184,812,0,16176,0530,2200
NWT16189,16189,812,11,三峽,捷運永寧站,NWT157184,157184,812,1,16176,0530,2200
NWT16191,16191,藍31,11,五福新村,板橋後站,NWT157186,157186,藍31,0,16176,0530,2130
NWT16191,16191,藍31,11,五福新村,板橋後站,NWT157186,157186,藍31,1,16176,0600,2200
NWT16207,16207,藍44,11,樹林,捷運永寧站,NWT157202,157202,藍44,0,16176,0600,2000
NWT16207,16207,藍44,11,樹林,捷運永寧站,NWT157202,157202,藍44,1,16176,0600,2000
NWT16210,16210,917,11,鶯歌,捷運永寧站,NWT157205,157205,917,0,16176,0630,2100
NWT16210,16210,917,11,鶯歌,捷運永寧站,NWT157205,157205,917,1,16176,0630,2100
NWT16210,16210,917,11,鶯歌,捷運永寧站,NWT159937,159937,917延,0,16176,0630,2100
NWT16210,16210,917,11,鶯歌,捷運永寧站,NWT159937,159937,917延,1,16176,0630,2100
NWT16215,16215,848,11,臺北區監理所,新北板橋公車站,NWT157210,157210,848台北區監理所,0,16176,0830,1820
NWT16215,16215,848,11,臺北區監理所,新北板橋公車站,NWT159112,159112,848捷運府中站,1,16176,0720,1755
NWT16223,16223,807,11,三峽,滿月圓,NWT157218,157218,807,0,16176,0520,1730
NWT16223,16223,807,11,三峽,滿月圓,NWT157218,157218,807,1,16176,0520,1730
NWT16224,16224,922,11,三峽北大社區,捷運永寧站,NWT157219,157219,922,0,16176,0600,2240
NWT16224,16224,922,11,三峽北大社區,捷運永寧站,NWT157219,157219,922,1,16176,0600,2240
NWT16243,16243,綠15,11,伴山別墅(一),捷運大坪林站,NWT157238,157238,綠15,0,16178,0540,2200
NWT16243,16243,綠15,11,伴山別墅(一),捷運大坪林站,NWT157238,157238,綠15,1,16178,0540,2200
NWT16258,16258,819,11,深坑站,捷運七張站,NWT157253,157253,819,0,16181,0600,2200
NWT16258,16258,819,11,深坑站,捷運七張站,NWT157253,157253,819,1,16181,0600,2200
NWT16265,16265,橘1,11,錦繡,捷運景安站,NWT157260,157260,橘1,0,16185,0530,2230
NWT16265,16265,橘1,11,錦繡,捷運景安站,NWT157260,157260,橘1,1,16185,0530,2230
NWT16269,16269,836,11,滬尾砲台,捷運淡水站,NWT157264,157264,836,0,16185,0800,1805
NWT16269,16269,836,11,滬尾砲台,捷運淡水站,NWT157264,157264,836,1,16185,0800,1805
NWT16270,16270,838,11,泰山,捷運關渡站,NWT157265,157265,838,0,16185,0550,1930
NWT16270,16270,838,11,泰山,捷運關渡站,NWT157265,157265,838,1,16185,0550,1930
NWT16274,16274,橘9,11,錦繡,雙和醫院,NWT157269,157269,橘9,0,16185,0555,1935
NWT16274,16274,橘9,11,錦繡,雙和醫院,NWT157269,157269,橘9,1,16185,0555,1935
NWT16282,16282,紅38,11,淡海新市鎮,捷運淡水站,NWT157277,157277,紅38,0,16186,0550,0000
NWT16282,16282,紅38,11,淡海新市鎮,捷運淡水站,NWT157277,157277,紅38,1,16186,0550,0000
NWT16288,16288,紅28,11,淡江大學,捷運淡水站,NWT157283,157283,紅28淡江大學,0,16186,0600,2220
NWT16288,16288,紅28,11,淡江大學,捷運淡水站,NWT160577,160577,紅28捷運淡水站,1,16186,0600,2220
NWT16288,16288,紅28,11,淡江大學,捷運淡水站,NWT160578,160578,紅28,0,16186,0600,2220
NWT16288,16288,紅28,11,淡江大學,捷運淡水站,NWT160578,160578,紅28,1,16186,0600,2220
NWT16294,16294,藍22,11,汐止,南港花園社區,NWT157289,157289,藍22,0,16188,0530,2340
NWT16294,16294,藍22,11,汐止,南港花園社區,NWT157289,157289,藍22,1,16188,0530,2340
NWT16296,16296,藍15,11,汐止,捷運昆陽站,NWT157291,157291,藍15,0,16189,0540,0010
NWT16296,16296,藍15,11,汐止,捷運昆陽站,NWT157291,157291,藍15,1,16189,0540,0010
NWT16296,16296,藍15,11,汐止,捷運昆陽站,NWT159525,159525,藍15寵物友善公車(新北市)(先行取消),0,16189,0540,0010
NWT16296,16296,藍15,11,汐止,捷運昆陽站,NWT159525,159525,藍15寵物友善公車(新北市)(先行取消),1,16189,0540,0010
NWT16393,16393,849,11,烏來,臺北,NWT157389,157389,849,0,16178,0530,2140
NWT16393,16393,849,11,烏來,臺北,NWT157389,157389,849,1,16178,0640,2230
NWT16397,16397,紅51,11,淡海新市鎮,捷運淡水站,NWT157393,157393,紅51,0,16186,0530,2230
NWT16397,16397,紅51,11,淡海新市鎮,捷運淡水站,NWT157393,157393,紅51,1,16186,0530,2230
NWT16405,16405,橘5,11,板橋,捷運景安站,NWT157401,157401,橘5,0,16176,0540,2310
NWT16405,16405,橘5,11,板橋,捷運景安站,NWT157401,157401,橘5,1,16176,0540,2310
NWT16406,16406,8,11,捷運新店站,捷運景安站,NWT157402,157402,8,0,16176,0600,2100
NWT16406,16406,8,11,捷運新店站,捷運景安站,NWT157402,157402,8,1,16176,0600,2100
NWT16407,16407,橘2,11,中和,秀山,NWT157403,157403,橘2,0,16176,0550,2300
NWT16407,16407,橘2,11,中和,秀山,NWT157403,157403,橘2,1,16176,0550,2300
NWT16418,16418,綠10,11,景文科技大學,捷運大坪林站,NWT157414,157414,綠10,0,16178,0600,2240
NWT16418,16418,綠10,11,景文科技大學,捷運大坪林站,NWT157414,157414,綠10,1,16178,0600,2240
NWT16420,16420,綠7,11,黎明清境,捷運大坪林站,NWT157416,157416,綠7,0,16178,0600,2230
NWT16420,16420,綠7,11,黎明清境,捷運大坪林站,NWT157416,157416,綠7,1,16178,0600,2230
NWT16422,16422,923,11,坪林,捷運新店站,NWT157418,157418,923坪林站,0,16178,0630,2110
NWT16422,16422,923,11,坪林,捷運新店站,NWT158940,158940,923捷運新店站(新店路),1,16178,0550,2030
NWT16423,16423,930,11,青潭,板橋,NWT157419,157419,930,0,16178,0530,2230
NWT16423,16423,930,11,青潭,板橋,NWT157419,157419,930,1,16178,0530,2230
NWT16425,16425,811,11,蘆洲,聯合醫院中興院區,NWT157421,157421,811,0,16179,0550,2200
NWT16425,16425,811,11,蘆洲,聯合醫院中興院區,NWT157421,157421,811,1,16179,0550,2200
NWT16427,16427,839,11,新店達觀,捷運新店站,NWT157423,157423,839,0,16183,0550,2300
NWT16427,16427,839,11,新店達觀,捷運新店站,NWT157423,157423,839,1,16183,0550,2300
NWT16429,16429,847,11,樹林,板橋,NWT157425,157425,847,0,16185,0600,2100
NWT16429,16429,847,11,樹林,板橋,NWT157425,157425,847,1,16185,0600,2100
NWT16429,16429,847,11,樹林,板橋,NWT159168,159168,847繞,0,16185,0600,2100
NWT16429,16429,847,11,樹林,板橋,NWT159168,159168,847繞,1,16185,0600,2100
NWT16430,16430,紅36,11,新春街,捷運淡水站,NWT157426,157426,紅36,0,16186,0600,0000
NWT16430,16430,紅36,11,新春街,捷運淡水站,NWT157426,157426,紅36,1,16186,0600,0000
NWT16430,16430,紅36,11,新春街,捷運淡水站,NWT161307,161307,紅36淡水站,0,16186,0600,0000
NWT16430,16430,紅36,11,新春街,捷運淡水站,NWT161308,161308,紅36捷運淡水站,1,16186,0600,0000
NWT16431,16431,紅37,11,淡海新市鎮,捷運淡水站,NWT157427,157427,紅37,0,16186,0540,2330
NWT16431,16431,紅37,11,淡海新市鎮,捷運淡水站,NWT157427,157427,紅37,1,16186,0540,2330
NWT16431,16431,紅37,11,淡海新市鎮,捷運淡水站,NWT159380,159380,紅37新市站(車機),0,16186,0540,2330
NWT16431,16431,紅37,11,淡海新市鎮,捷運淡水站,NWT159381,159381,紅37捷運淡水站(車機),1,16186,0540,2330
NWT16431,16431,紅37,11,淡海新市鎮,捷運淡水站,NWT160947,160947,紅37繞淡水商工新市站,0,16186,0540,2330
NWT16431,16431,紅37,11,淡海新市鎮,捷運淡水站,NWT160948,160948,紅37繞淡水商工捷運淡水站,1,16186,0540,2330
NWT16432,16432,紅39,11,新春街,捷運淡水站,NWT157428,157428,紅39,0,16186,0610,2210
NWT16432,16432,紅39,11,新春街,捷運淡水站,NWT157428,157428,紅39,1,16186,0610,2210
NWT16432,16432,紅39,11,新春街,捷運淡水站,NWT159304,159304,紅39淡水站,0,16186,0610,2210
NWT16432,16432,紅39,11,新春街,捷運淡水站,NWT159305,159305,紅39捷運淡水站,1,16186,0610,2210
NWT16461,16461,707,11,三峽,松山機場,NWT157481,157481,707,0,16176,0530,1930
NWT16461,16461,707,11,三峽,松山機場,NWT157481,157481,707,1,16176,0530,1930
NWT16461,16461,707,11,三峽,松山機場,NWT159612,159612,707寵物公車,0,16176,0530,1930
NWT16461,16461,707,11,三峽,松山機場,NWT159612,159612,707寵物公車,1,16176,0530,1930
NWT16462,16462,910,11,三峽,捷運府中站,NWT157485,157485,910,0,16176,0540,2200
NWT16462,16462,910,11,三峽,捷運府中站,NWT157485,157485,910,1,16176,0540,2200
NWT16463,16463,藍35,11,歡仔園,捷運新埔站,NWT157486,157486,藍35,0,16176,0700,2000
NWT16463,16463,藍35,11,歡仔園,捷運新埔站,NWT157486,157486,藍35,1,16176,0700,2000
NWT16464,16464,藍17,11,五福新村,捷運永寧站,NWT157487,157487,藍17,0,16176,0530,2200
NWT16464,16464,藍17,11,五福新村,捷運永寧站,NWT157487,157487,藍17,1,16176,0530,2200
NWT16466,16466,橘3,11,中和,捷運頂溪站,NWT157489,157489,橘3,0,16176,0600,2200
NWT16466,16466,橘3,11,中和,捷運頂溪站,NWT157489,157489,橘3,1,16176,0600,2200
NWT16466,16466,橘3,11,中和,捷運頂溪站,NWT160037,160037,橘3平日07:00-09:00之時段取消停靠捷運頂溪站,0,16176,0600,2200
NWT16466,16466,橘3,11,中和,捷運頂溪站,NWT160037,160037,橘3平日07:00-09:00之時段取消停靠捷運頂溪站,1,16176,0600,2200
NWT16467,16467,51,11,南雅站,永和,NWT157490,157490,51,0,16176,0550,0550
NWT16467,16467,51,11,南雅站,永和,NWT157490,157490,51,1,16176,0550,0550
NWT16468,16468,57,11,板橋,永和,NWT157491,157491,57,0,16176,0510,2200
NWT16468,16468,57,11,板橋,永和,NWT157491,157491,57,1,16176,0510,2200
NWT16471,16471,藍33,11,五福新村,新北板橋公車站,NWT157494,157494,藍33,0,16176,0700,0815
NWT16471,16471,藍33,11,五福新村,新北板橋公車站,NWT157494,157494,藍33,1,16176,0700,0815
NWT16471,16471,藍33,11,五福新村,新北板橋公車站,NWT159295,159295,藍33繞,0,16176,0700,0815
NWT16471,16471,藍33,11,五福新村,新北板橋公車站,NWT159295,159295,藍33繞,1,16176,0700,0815
NWT16474,16474,843,11,樹林,板橋(捷運府中站),NWT157497,157497,843,0,16176,0600,2200
NWT16474,16474,843,11,樹林,板橋(捷運府中站),NWT157497,157497,843,1,16176,0600,2200
NWT16479,16479,802區,11,新莊,捷運新埔站,NWT157502,157502,802區,0,16177,0545,2300
NWT16479,16479,802區,11,新莊,捷運新埔站,NWT157502,157502,802區,1,16177,0545,2300
NWT16481,16481,綠13,11,青潭,捷運公館站,NWT157504,157504,綠13,0,16178,0530,2230
NWT16481,16481,綠13,11,青潭,捷運公館站,NWT157504,157504,綠13,1,16178,0530,2230
NWT16485,16485,835,11,新北產業園區,捷運台大醫院站,NWT157508,157508,835,0,16179,0530,2100
NWT16485,16485,835,11,新北產業園區,捷運台大醫院站,NWT157508,157508,835,1,16179,0530,2100
NWT16486,16486,藍37,11,龍壽里,捷運板橋站,NWT157509,157509,藍37,0,16179,0535,2345
NWT16486,16486,藍37,11,龍壽里,捷運板橋站,NWT157509,157509,藍37,1,16179,0535,2345
NWT16486,16486,藍37,11,龍壽里,捷運板橋站,NWT161427,161427,藍37龍壽里(車機),0,16179,0535,2345
NWT16486,16486,藍37,11,龍壽里,捷運板橋站,NWT161428,161428,藍37新北板橋公車站(車機),1,16179,0535,2345
NWT16487,16487,藍38,11,東昇公園,新北板橋公車站,NWT157510,157510,藍38,0,16179,0520,0000
NWT16487,16487,藍38,11,東昇公園,新北板橋公車站,NWT157510,157510,藍38,1,16179,0520,0000
NWT16489,16489,橘19,11,五股,三重,NWT157512,157512,橘19,0,16179,0530,2330
NWT16489,16489,橘19,11,五股,三重,NWT157512,157512,橘19,1,16179,0530,2330
NWT16490,16490,橘17,11,新莊中原路,捷運三民高中站,NWT157513,157513,橘17,0,16182,0540,2100
NWT16490,16490,橘17,11,新莊中原路,捷運三民高中站,NWT157513,157513,橘17,1,16182,0540,2100
NWT16491,16491,綠9,11,大香山,慈濟醫院,NWT157514,157514,綠9,0,16183,0900,2300
NWT16491,16491,綠9,11,大香山,慈濟醫院,NWT157514,157514,綠9,1,16183,0900,2300
NWT16492,16492,綠9耕莘,11,大香山,耕莘醫院,NWT157515,157515,綠9耕莘,0,16183,0740,1650
NWT16492,16492,綠9耕莘,11,大香山,耕莘醫院,NWT157515,157515,綠9耕莘,1,16183,0740,1650
NWT16492,16492,綠9耕莘,11,大香山,耕莘醫院,NWT159220,159220,綠9耕莘大千豪景,0,16183,0740,1650
NWT16492,16492,綠9耕莘,11,大香山,耕莘醫院,NWT159220,159220,綠9耕莘大千豪景,1,16183,0740,1650
NWT16493,16493,綠9北新國小,11,大香山,北新國小,NWT157516,157516,綠9北新國小,0,16183,0550,2155
NWT16493,16493,綠9北新國小,11,大香山,北新國小,NWT157516,157516,綠9北新國小,1,16183,0550,2155
NWT16493,16493,綠9北新國小,11,大香山,北新國小,NWT159221,159221,綠9北新國小大千豪景,0,16183,0550,2155
NWT16493,16493,綠9北新國小,11,大香山,北新國小,NWT159221,159221,綠9北新國小大千豪景,1,16183,0550,2155
NWT16497,16497,837,11,新春街,福德里,NWT157520,157520,837,0,16186,0600,2100
NWT16497,16497,837,11,新春街,福德里,NWT157520,157520,837,1,16186,0600,2100
NWT16498,16498,藍21,11,汐止社后,南港車站,NWT157521,157521,藍21,0,16187,0600,2130
NWT16498,16498,藍21,11,汐止社后,南港車站,NWT157521,157521,藍21,1,16187,0600,2130
NWT16499,16499,816,11,三重,捷運士林站,NWT157522,157522,816,0,16189,0530,2200
NWT16499,16499,816,11,三重,捷運士林站,NWT157522,157522,816,1,16189,0530,2200
NWT16500,16500,815,11,三重,故宮博物院,NWT157523,157523,815,0,16189,0530,2230
NWT16500,16500,815,11,三重,故宮博物院,NWT157523,157523,815,1,16189,0530,2230
NWT16500,16500,815,11,三重,故宮博物院,NWT159292,159292,815仙公廟(車機),0,16189,0530,2230
NWT16500,16500,815,11,三重,故宮博物院,NWT159293,159293,815外雙溪(至善)(車機),1,16189,0530,2230
NWT16501,16501,橘16,11,三重,捷運三民高中站,NWT157524,157524,橘16,0,16189,0730,1800
NWT16501,16501,橘16,11,三重,捷運三民高中站,NWT157524,157524,橘16,1,16189,0730,1800
NWT16511,16511,779,11,三峽,新店,NWT157546,157546,779三峽一站,0,16176,0520,2110
NWT16511,16511,779,11,三峽,新店,NWT158948,158948,779捷運新店站(新店路),1,16176,0520,2110
NWT16513,16513,885,11,三峽,捷運頭前庄站,NWT157548,157548,885,0,16177,0515,2130
